"input_id","input_type","dataset_name","file_name","relative_path","file_format","sheet_or_range_or_table","description_and_role","variables_used","geographic_coverage","age_coverage","sex_coverage","time_coverage","unit_of_observation","source_institution","original_source_publication","source_url","consuming_scripts","consuming_functions","pipeline_stage","update_frequency_or_reference_version","availability_in_repo","processing_notes_assumptions_limitations","manual_confirmation_needed"
"gbd_sbp_relative_risks","raw_file","GBD 2019 relative risks for high systolic blood pressure","IHME_GBD_2019_RELATIVE_RISKS_Y2020M10D15_HTN.xlsx","data/raw/IHME_GBD_2019_RELATIVE_RISKS_Y2020M10D15_HTN.xlsx","xlsx","Sheet1, cell range A3:AB20 (17 risk-outcome rows x 28 columns)","Age-specific relative risk per 10 mmHg higher SBP by cause. Used to distribute each country-age-sex-cause baseline incidence rate across the 8 SBP categories (the alpha normalisation in calculate_baseline_incidence_gbd), i.e. it sets the BP-bin-specific incidence structure on which the sodium effect operates.","Risk-Outcome; age-group RR columns 20-24 years through 95+ years (reshaped to rr_per_10mmhg). Dropped on read: Category / Units; Morbidity / Mortality; Sex; All-age; all age columns below 20-24.","Global (no country dimension; the same RR schedule is applied to every modelled country)","20-95; GBD 5-year groups expanded to single-year ages (20-24 set equal to 25-29)","Both sexes combined (Sex column dropped; single RR schedule used for male and female)","GBD 2019 estimation round; time-invariant in the model","risk-outcome (cause) x age group","Institute for Health Metrics and Evaluation (IHME)","GBD 2019 relative risks release (file stamp Y2020M10D15), high-SBP risk-outcome pairs","NA","code/06_run_scenarios_targets.R (L32-79); code/07_run_interventions.R (L119-166)","readxl::read_excel(); expand_gbd_age(); get_gbd_relative_risks(); expand_to_single_year_ages(); calculate_baseline_incidence_gbd()","06_run_scenarios_targets / 07_run_interventions - Section 1 (RR setup)","GBD relative-risk release (GBD 2019 used here; IHME re-releases per GBD round)","present locally, git-ignored (data/raw/**)","Cell range A3:AB20 is hard-coded, so any change in workbook layout silently mis-parses. RR strings are parsed with a regex that keeps the point estimate and discards the uncertainty interval, so no RR uncertainty enters the model. Only ihd, istroke, hstroke and hhd are retained. RRs are treated as log-linear per 10 mmHg when scaled by 0.1 x sbp_reduction. Note the baseline rates are GBD 2023-derived while these RRs are GBD 2019.","GHDX record / citation URL for the exact release; whether GBD 2019 RRs should be updated to match the GBD 2023 baseline"
"euromonitor_packaged_food_predictions","raw_file","Euromonitor packaged-food consumption trends (RTSL custom extract) - forecast sheet","Euromonitor_trends_RTSL.xlsx","data/raw/Euromonitor_trends_RTSL.xlsx","xlsx","Predictions (2025-2030) [94 rows x 11 cols]. Other sheets present but NOT consumed: README; All observed (2011-2025); Post-COVID (2023-2025)","Annual percent change (APC) in packaged-food consumption by product category and country, 2025-2030. Collapsed to one growth rate g per country (median APC over sodium-relevant leaf categories) and used in 07 to grow each country packaged sodium-source share to its 2030 end state, renormalising the other sources (composition shift only; total intake unchanged).","geography; series_category; apc (used). Present but unused: code; apc_se; apc_lcl; apc_ucl; linear_trend; linear_trend_se; linear_trend_lcl; linear_trend_ucl","10 geographies: Bangladesh, Cameroon, China, Ethiopia, India, Malaysia, Nigeria, Philippines, Thailand, Vietnam","NA (population-level retail/consumption volumes, no age dimension)","NA","2025-2030 forecast (APC); observed history 2011-2025 available on unused sheets","geography x product category","Euromonitor International (extract supplied by Resolve to Save Lives)","Euromonitor Passport packaged-food consumption series, RTSL custom extract","NA","code/03_clean_inputs.R (L24-59); trend consumed downstream in code/07_run_interventions.R (L734-786); reports/report.RMD (L712)","readxl::read_excel(); median APC aggregation writing packaged_food_trends.rds","03_clean_inputs (Task 4a) -> 07_run_interventions (Task 4b)","Euromonitor annual data refresh; category labels verified against the workbook on 2026-07-22","present locally, git-ignored (data/raw/**)","Only 8 hand-picked, non-overlapping, sodium-relevant LEAF categories are kept (Sauces Dips and Condiments; Soup; Ready Meals; Processed Meat Seafood and Alternatives to Meat; Savoury Snacks; Cheese; Baked Goods; Rice Pasta and Noodles). The parent categories Meals and Soups (3.2) and Dairy (4.2) are excluded to avoid double counting. One growth rate per country = median(apc)/100. Retail volume growth is used as a proxy for sodium intake share growth. Geography label Vietnam is mapped to the model location Viet Nam in 07 via the 05 name_map. Countries absent from the extract get I = 1 (no trend), including the default share row.","Licence / redistribution terms for the Euromonitor extract; RTSL sign-off that median APC over these 8 leaf categories is the intended aggregation"
"baseline_transition_rates","processed_file","Calibrated baseline state-transition rates (b_rates)","adjusted_searo_part1.rds ... adjusted_searo_part10.rds (10 files, globbed by pattern 'adjusted')","data/processed/adjusted_searo_part{1..10}.rds","rds (data.table, row-bound across the 10 parts)","NA","The core baseline epidemiologic input: incidence (IR), case fatality (CF), background mortality (BG.mx, BG.mx.all), all-cause mortality (ALL.mx), baseline prevalence (PREVt0), disease mortality at t0 (DIS.mx.t0) and population (Nx) by country, age, sex, year and cause. Assembled into b_rates, which drives the well/sick/dead state-transition model.","age; sex; cause; year; location; IR; CF; BG.mx; BG.mx.all; ALL.mx; PREVt0; DIS.mx.t0; Nx. Dropped on load: percent_lag; percent_diff","205 locations (country names largely GBD; United States of America / Bolivia (Plurinational State of) / United Republic of Tanzania renamed in 05)","20-95 single-year ages (95 = terminal group)","Female, Male (a small block of 204 rows has NA sex and NA location and is dropped in 05)","2000-2050 present on file; 05 nevertheless replicates the 2019 rows forward to 2020-2050","location x age (single year) x sex x year x cause","Project-internal calibration (UW / RTSL) built from IHME GBD estimates","Derived from GBD (2023 round) incidence, prevalence and mortality; produced by an external calibration step referenced in 05 as 'file calibration' and not present in this repository","NA","code/05_build_baseline.R (L19-34, then all downstream b_rates operations); exported to workers in code/07_run_interventions.R (L1700-1735)","list.files(); readRDS(); rbindlist(); build_intervention_rates_sodium(); calculate_baseline_incidence_gbd(); project.all(); run_state_transitions_sodium()","05_build_baseline (baseline assembly)","Rebuilt when the GBD round or the calibration changes; current files dated 2026 (GBD 2023 vintage)","committed","The generating calibration script is NOT in this repository, so the provenance chain from GBD to these rates cannot be re-run here. The cause column mixes GBD full names (bulk of rows) with the abbreviations ihd/istroke/hstroke/hhd (204 rows); 05 harmonises to abbreviations. Rates are rebalanced in 05 so BG.mx + covid.mx + IR (and + CF) never exceed 1. The 10-part split is a file-size convenience, not a geographic partition, despite the 'searo' filename. The glob pattern 'adjusted' would also pick up any other data/processed file whose name contains 'adjusted'.","Location and version of the calibration script that produces these files; exact GBD round and extraction date"
"covid_excess_mortality_wpp","processed_file","COVID-19 excess mortality and population adjustment (wpp.adj)","wpp.adj.Rda","data/processed/wpp.adj.Rda","Rda (single object wpp.adj, 71808 x 8)","NA","Age-sex-specific excess (COVID) mortality rates for 2020-2021, added to background mortality so the projection starts from a post-pandemic baseline.","location_name; sex; age; year; covid.mx (used). Present but dropped on join: iso3; Nx; mx","187 locations","0-95 single year (only ages 20-95 are used after the join to b_rates)","Female, Male","2020-2021 only (all other years get covid.mx = 0)","location x age x sex x year","UN DESA Population Division (WPP) with project-internal excess-mortality adjustment","UN World Population Prospects life tables / deaths, adjusted to excess mortality by the project","NA","code/05_build_baseline.R (L8-11, L44-46, L250-255)","load(); left_join(); merge()","05_build_baseline (COVID adjustment)","WPP revision dependent; excess mortality fixed at the 2020-2021 pandemic period","committed","Excess mortality is treated as equal to COVID mortality. covid.mx is capped at 0.9 and further rebalanced when BG.mx + covid.mx + IR (or + CF) exceeds 1. North Korea is renamed to Democratic People's Republic of Korea on load to match GBD naming. Which WPP revision underlies this object is not recorded in code.","WPP revision year and the excess-mortality source (e.g. WHO or IHME excess-death estimates) used to build covid.mx"
"unwpp_population_single_age","processed_file","UN WPP 2024 single-year-age population","PopulationsSingleAge0050.rds","data/processed/PopulationsSingleAge0050.rds","rds (data.table, 4670846 x 5)","NA","Replaces the population denominator (Nx) in b_rates with UN WPP 2024 single-year-age counts, so all rates and absolute counts use the current population projection.","location; year_id (renamed year); sex; age; Nx","237 locations","1-101 on file; ages 95+ collapsed to 95 in 05; only 20-95 used","Female, Male","2000-2100 on file; used for the model horizon 2017-2050","location x age x sex x year","United Nations, Department of Economic and Social Affairs, Population Division","World Population Prospects 2024, Revision (single-age population estimates and medium-variant projections)","https://population.un.org/wpp/","code/05_build_baseline.R (L49-66)","readRDS(); collapse by location-year-sex-age; merge() into b_rates (Nx overwrite)","05_build_baseline (population update)","UN WPP revision (2024 revision as used here; next revision expected 2026-2027)","committed","Ages 95+ are summed into a terminal age-95 group. Nx is overwritten only where a WPP match exists; unmatched location-year-age-sex rows keep the original b_rates population, so denominators can be mixed-vintage. The medium variant is assumed (not stated in code).","Confirm WPP 2024 medium-variant and the download/extraction date"
"unwpp_population_age20","processed_file","UN WPP population at age 20 (cohort entrants)","PopulationsAge20_2050.csv","data/processed/PopulationsAge20_2050.csv","csv (69946 x 5)","NA","Population aged exactly 20 by location-year-sex; used to overwrite Nx/pop for the model entry age so new adult cohorts enter the state-transition model with WPP counts.","location; year_id (renamed year); sex; age (= 20 only); Nx","237 locations","Age 20 only","Female, Male","1950-2100 on file; filtered to year >= 2017","location x sex x year (at age 20)","United Nations, Department of Economic and Social Affairs, Population Division","World Population Prospects 2024, Revision","https://population.un.org/wpp/","code/05_build_baseline.R (L72-77 and again L240-243)","read.csv(); left_join() into b_rates (Nx and pop overwrite)","05_build_baseline (population update)","UN WPP revision (2024)","committed","The same join is executed twice in 05 (before and after the incidence/case-fatality adjustment block); the second call is redundant but harmless because it reassigns the same values.","Confirm it is the same WPP extract/vintage as PopulationsSingleAge0050.rds"
"bp_distribution_baseline","processed_file","Baseline systolic blood-pressure distribution, diabetes prevalence and sodium intake by country-age-sex","bp_data6.csv","data/processed/bp_data6.csv","csv (5376 x 19)","NA","The exposure input (data.in). Provides mean SBP and its standard deviation, the raised-BP proportion, diabetes prevalence and baseline salt/sodium intake, from which get.bp.prob() derives the probability mass in each of the 8 SBP categories, and which the sodium intervention shifts.","location_gbd (renamed location); Age.group (renamed age); sex; Mean; stdev; raisedBP; diabetes; salt; iso3. Present but unused or dropped: Country; Year; gbd2019; Lower95; Upper95; stdev_norm; age; low5; htncov; htncov2","192 locations (GBD naming; further harmonised via the 05 name_map)","14 five-year groups, 20-24 to 85plus","Female, Male","Single cross-section, Year = 2015; replicated across model years 2017-2050 by repYear()","location x 5-year age group x sex (x SBP category after the cross-join with the 8 bins)","NCD Risk Factor Collaboration (SBP); project-internal assembly (diabetes, sodium)","NCD-RisC pooled SBP estimates; assembled by the project script referenced in 05 as 'Blood pressure.R' (not in this repository)","https://ncdrisc.org/","code/05_build_baseline.R (L84-87, L101-136, L175); code/07_run_interventions.R (prepare_sodium_data L1009-1020, calculate_sodium_impact_etihad, and exported to workers); code/06_run_scenarios_targets.R (same role); code/02_load_inputs.R uses the earlier bp_data5.csv","fread(); get.bp.prob() (01_utils.R); get_bp_prob_salt() (04); prepare_sodium_data(); expand_to_single_year_ages(); calculate_sodium_impact_etihad()","05_build_baseline (exposure input) -> 07_run_interventions","Tied to the NCD-RisC release used for the 2015 cross-section; no version string stored in the file","committed","SBP within each age-sex-country cell is assumed normal with the given mean and stdev. The 2015 cross-section is held constant over the whole 2017-2050 horizon (no secular BP trend). China salt is hard-overwritten to 4.83 * 2.54 g/day in 05 (L86). The salt column is then overwritten again in 07 prepare_sodium_data() with the 2024 sodium_current values from sodium_policy_scenarios.rds, so the file salt column is only a fallback. Age groups are expanded to single years downstream (85plus -> 85:95).","Provenance of the diabetes and salt columns and of the 'Blood pressure.R' assembly script; NCD-RisC release year; why the reference year is 2015"
"htn_control_scaleup","processed_file","Hypertension-control coverage and scale-up functions (covfxn)","covfxn2.csv","data/processed/covfxn2.csv","csv (6188 x 24)","NA","Country-year hypertension treatment/control coverage trajectories (business-as-usual, Progress, Aspirational) and the derived annual coverage increments. Loaded as inc and carried through the run; in the sodium-only configuration the treatment channel is inactive (rx = 0) and only aroc travels with the exposure table.","iso3; location; Year; aroc; p_change; a_change; refwsalt; aspwsalt; reach_base; aroc2; p_change2; a_change2; ideal (selected in 05); control (used in 02 to build hbp_control_data). Other columns (Progress, Aspirational, Business as usual, model, wb2021, ref, asp, reach_75, reach_975, Country) are present but not selected in 05","182 locations","NA (age-standardised, country-level)","NA (both sexes combined)","2017-2050 (2017-2019 increments zeroed; scale-up starts 2026)","location x year","NCD Risk Factor Collaboration (observed control rates); project-internal scale-up modelling","Built in code/02_load_inputs.R from NCD-RisC Lancet 2021 hypertension age-standardised country series plus fitted quadratic scale-up functions","https://ncdrisc.org/","code/05_build_baseline.R (L93-95, L130-131); code/07_run_interventions.R (exported to workers, L1725); code/06_run_scenarios_targets.R; written by code/02_load_inputs.R (L1324)","read.csv()/fread(); get.bp.prob() (uses aroc, htn_ctrl, htn_trt when rx = 1); clusterExport()","02_load_inputs (build) -> 05_build_baseline (load as inc) -> 07_run_interventions (worker export)","Regenerated whenever 02 is re-run against a newer NCD-RisC release; current file derived from the 2021 NCD-RisC hypertension paper","committed","In the active sodium-only run the antihypertensive-treatment pathway is switched off (rx = 0), so most columns are inert; only aroc enters the salt_info table. The scale-up functions are calibrated on Canada 1990-2019 and applied globally by a model-group assignment. Regenerating this file requires the raw NCD-RisC csv, which is not present in the repository.","Whether the treatment columns are intended to stay unused in the sodium-only publication run"
"ir_cf_calibration_adjustments","processed_file","Incidence and case-fatality calibration multipliers","adjustments2023_age.csv","data/processed/adjustments2023_age.csv","csv (25856 x 10)","NA","Country-sex-age-cause multipliers that rescale baseline incidence (IRadjust) and case fatality (CFadjust) so modelled deaths and prevalence match GBD targets. Applied when run_adjustment_model = TRUE (the default).","location; sex; cause; age_group; IRadjust; CFadjust. Present but unused: scenario_id; RMSE_deaths; RMSE_prev; error","202 locations","16 five-year groups 20-24 to 95+ (b_rates single ages are cut into the same groups for the join)","Female, Male","Time-invariant (fitted on the 2023 calibration round; applied to all years)","location x sex x cause x 5-year age group","Project-internal calibration (UW / RTSL)","Output of the external calibration/grid-search step (scenario_id, RMSE columns retained); generating script not in this repository","NA","code/05_build_baseline.R (L198-233)","fread(); create_gbd_age_group(); merge(); IR and CF rescaling","05_build_baseline (calibration adjustment, flag run_adjustment_model)","Regenerated with each calibration round (2023 round in use)","committed","Multipliers are time-invariant, so a 2023-fitted correction is applied unchanged to 2050. Rows with no match leave IR/CF unadjusted (silent partial coverage). The selection criterion behind the retained scenario_id (RMSE on deaths vs prevalence) is not documented in the pipeline.","Calibration script, objective function and acceptance criteria; whether a newer round exists for the GBD 2023 baseline"
"bgmx_trend_cause_specific","processed_file","Forecast background-mortality trend, cause-specific","tps_bgmx_forecasted.rds","data/processed/tps_bgmx_forecasted.rds","rds (31008 x 7)","NA","Year-on-year percent change in cause-specific background mortality, used to bend BG.mx downwards after 2019 (BG.mx * (1 + percent_diff)).","age; sex; cause; year; percent_diff. Dropped/unused: BG.mx.all; percent_lag","None - no location dimension; the same trend is applied to every country","20-95 single-year","Female, Male","2000-2050 on file; only year > 2019 is applied","age x sex x cause x year (global)","Project-internal forecast (UW / RTSL) built with the forecast R package on GBD historical mortality","Derived from GBD historical mortality trends; generating script not in this repository","NA","code/05_build_baseline.R (L262-289)","readRDS(); merge(); BG.mx rescaling (flag run_bgmx_trend)","05_build_baseline (mortality trend, flag run_bgmx_trend)","Regenerated when the mortality forecast is refreshed","committed","A single global age-sex-cause trend is imposed on all 205 locations - a strong assumption for countries whose historical trajectory differs. Deduplicated with unique(by = age, sex, cause, year) before the join. cause labels arrive as GBD full names and are mapped to abbreviations in 05.","Forecast method, fitting window and whether country-specific trends are intended"
